epoch,acc,iou,loss,lr,precision_3,recall_3,val_acc,val_iou,val_loss,val_precision_3,val_recall_3
70,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-16,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
71,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-16,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
72,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-17,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
73,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-17,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
74,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-17,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
75,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-17,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
76,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1e-18,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
77,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1e-18,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
78,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1e-18,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
79,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1e-18,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
80,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000003e-19,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
81,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000003e-19,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
82,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000003e-19,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
83,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000003e-19,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
84,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000005e-20,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
85,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000005e-20,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
86,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000005e-20,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
87,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.00000005e-20,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
88,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-21,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
89,0.8397683501243591,0.37652066349983215,0.0011702479096129537,1.0000001e-21,1.0,0.22414858639240265,0.8390275835990906,0.38981351256370544,0.0009750500903464854,1.0,0.23334376513957977
